-23960.647644299217,12:10:20.296481
-78285.32053436383,12:10:20.297325
-108978.449286527,12:10:20.297402
-96375.43237827727,12:10:20.342392
-71220.2194904104,12:10:20.342641
-48718.48892887021,12:10:20.345576
-29475.743601523693,12:10:20.345865
-13873.888342909642,12:10:20.349006
-4625.754539732228,12:10:20.349289
-584.5399267582579,12:10:20.391671
5969.669494432631,12:10:20.391993
18251.288958578923,12:10:20.395205
28436.595821550793,12:10:20.395519
28705.705921298068,12:10:20.398875
23813.885801977936,12:10:20.399158
24957.549519692304,12:10:20.402175
33287.61616551205,12:10:20.402465
39171.86621822514,12:10:20.405304
36120.29457312165,12:10:20.405596
28086.687834571763,12:10:20.440002
24404.135914714774,12:10:20.440327
27385.04657769984,12:10:20.442937
28671.99225247494,12:10:20.443243
23978.413513423733,12:10:20.445891
18799.159920946782,12:10:20.446173
17520.717670179223,12:10:20.448694
18509.280455551165,12:10:20.448977
17949.81006634099,12:10:20.451721
14159.718109333287,12:10:20.452114
10097.631278089977,12:10:20.488486
8687.087945636224,12:10:20.488810
8943.59607938057,12:10:20.491260
8403.093392645294,12:10:20.491553
5718.760764978634,12:10:20.493477
3189.514801731845,12:10:20.493760
3387.707371348666,12:10:20.495774
5905.020500318025,12:10:20.496060
6448.000186042383,12:10:20.498284
2151.00252059136,12:10:20.498562
-2521.048507944456,12:10:20.537294
-3321.514012770632,12:10:20.537628
-1440.396750231698,12:10:20.539833
-545.4242715512632,12:10:20.540130
-2248.915572368966,12:10:20.542474
-4209.507904284327,12:10:20.542758
-3959.996790609631,12:10:20.544672
-2668.84239749194,12:10:20.544968
-3173.5812442771535,12:10:20.546676
-5250.503316524844,12:10:20.546959
-6248.033822995789,12:10:20.585576
-4699.168871982469,12:10:20.585925
-2614.909089287034,12:10:20.587819
-3373.421867359867,12:10:20.588111
-6734.861441089917,12:10:20.590329
-8730.511042018918,12:10:20.590614
-6211.441847758422,12:10:20.592579
-1773.928943236957,12:10:20.592866
-57.07550654112538,12:10:20.594699
-119.62128277023658,12:10:20.594979
1453.251592286716,12:10:20.635020
4338.046170650156,12:10:20.635423
6285.519139285029,12:10:20.637770
6716.639514235173,12:10:20.638058
6529.830879009771,12:10:20.640050
6242.114694912384,12:10:20.640335
6923.703043369504,12:10:20.642305
8102.825806737876,12:10:20.642592
5986.623690338874,12:10:20.644483
1242.3092099999983,12:10:20.644771
-1939.8709998130573,12:10:20.682820
-3054.6574595339684,12:10:20.683149
-3008.624389103874,12:10:20.685170
-2300.3955684046277,12:10:20.685459
-1941.2436132722069,12:10:20.687099
-2651.3924683531964,12:10:20.687398
-2971.3369052591775,12:10:20.689383
-1700.6857125065017,12:10:20.689663
-1223.5746771536483,12:10:20.732339
-3187.927602200572,12:10:20.732660
-4971.621321936764,12:10:20.734313
-4228.97720891582,12:10:20.734607
-2441.5752678868525,12:10:20.736620
-1727.7688993808897,12:10:20.736906
-1997.3119811523243,12:10:20.738693
-2694.0026455494617,12:10:20.738970
-3950.613054030643,12:10:20.740979
-3912.0690656436623,12:10:20.741263
-978.179693993744,12:10:20.780104
3363.6887835189777,12:10:20.780400
5991.083200472678,12:10:20.782122
4903.739872450847,12:10:20.782383
738.0791926025812,12:10:20.784553
-4099.673212635078,12:10:20.784895
-5398.829231526395,12:10:20.786710
-2853.405117683882,12:10:20.786985
304.7169632651536,12:10:20.788728
2918.399722376924,12:10:20.788989
3616.7166082421645,12:10:20.828768
2513.971395700591,12:10:20.829089
2046.7754950687445,12:10:20.830749
2147.2676105656983,12:10:20.831030
1715.024390838214,12:10:20.832698
1447.3484601787532,12:10:20.832973
1823.9120493399994,12:10:20.834575
2533.747933214394,12:10:20.834847
1881.4144066753252,12:10:20.836896
-236.21258326060928,12:10:20.837180
141.18383804290005,12:10:20.878075
3181.9360593841166,12:10:20.878398
3727.3463590337637,12:10:20.880289
231.2883606806521,12:10:20.880575
-2440.3237529722333,12:10:20.882397
-789.2095382970663,12:10:20.882676
1966.2856683549621,12:10:20.884486
1756.521248594527,12:10:20.884770
-61.96649270921159,12:10:20.886871
-382.2980645978754,12:10:20.887154
748.2022759600654,12:10:20.926414
1475.077248808225,12:10:20.926759
136.94385254589727,12:10:20.928487
-1562.7013293982322,12:10:20.928771
-2040.1011400704062,12:10:20.930406
-3194.184878278703,12:10:20.930685
-4180.3252466908425,12:10:20.932550
-2704.647297228513,12:10:20.932835
-98.56879375435778,12:10:20.934644
427.8931912260306,12:10:20.934925
-1366.095266903455,12:10:20.936604
-2291.6065909389245,12:10:20.936881
-1259.150016968649,12:10:20.975404
416.2164690003919,12:10:20.975727
2525.0325753115617,12:10:20.977430
4801.197120685522,12:10:20.977707
5880.717609935186,12:10:20.979563
4099.514513821393,12:10:20.979846
1317.58020629484,12:10:20.981467
945.0234283911034,12:10:20.981744
1368.1171186640859,12:10:20.983387
334.19130024459673,12:10:20.983668
-1395.4193753791478,12:10:20.985298
-2842.799598568291,12:10:20.985572
-4135.485427517659,12:10:21.023823
-3930.545586860794,12:10:21.024146
-1192.4141378302775,12:10:21.025853
1292.6814724410383,12:10:21.026134
1121.1291047727677,12:10:21.072932
-786.7399379433044,12:10:21.073257
-2327.735346818982,12:10:21.075081
-3147.313925269333,12:10:21.075383
-2881.224303377256,12:10:21.077070
-706.5084598107437,12:10:21.077344
600.7945879640439,12:10:21.121722
-209.04388210068385,12:10:21.122049
-464.03236428388425,12:10:21.123752
-818.2501789785007,12:10:21.124040
-1538.1091949177046,12:10:21.125659
-294.17315285484904,12:10:21.125932
